Is_ma,Freq_corte (Khz),Ganho
0.025,(805.8421877612412+0j),2.0
0.05,(1535.5006336565846+0j),2.0
0.1,(2770.129039162821+0j),2.0
0.2,(4466.835921508103+0j),2.0
0.3,(5401.321147644471+0j),2.0
0.4,(5837.810589597155+0j),2.0
0.5,(5991.009386111442+0j),2.0
0.6,(6008.277736474603+0j),2.0
0.7,(5956.621435288021+0j),2.0
0.8,(5888.43655355383+0j),2.0
0.9,(5821.03217770668+0j),2.0
1.0,(5754.399373369561+0j),2.0
1.1,(5688.529308436431+0j),2.0
1.2,(5639.622051456378+0j),2.0
1.3,(5575.065831662719+0j),2.0
1.4,(5527.134079442427+0j),2.0
1.5,(5495.408738574334+0j),2.0
1.6,(5448.161839979773+0j),2.0
1.7,(5401.321147644471+0j),2.0
1.8,(5370.317963700662+0j),2.0
1.9,(5339.492735739913+0j),2.0
2.0,(5293.586328440108+0j),2.0
0.025,(560.7251037948078+0j),4.0
0.05,(1002.882377450679+0j),4.0
0.1,(1631.172909227323+0j),4.0
0.2,(2290.86765276703+0j),4.0
0.3,(2570.395782768021+0j),4.0
0.4,(2707.073203920466+0j),4.0
0.5,(2770.129039162821+0j),4.0
0.6,(2810.2826359627325+0j),4.0
0.7,(2826.506574672836+0j),4.0
0.8,(2842.824175203249+0j),4.0
0.9,(2842.824175203249+0j),4.0
1.0,(2842.824175203249+0j),4.0
1.1,(2842.824175203249+0j),4.0
1.2,(2842.824175203249+0j),4.0
1.3,(2834.653633488731+0j),4.0
1.4,(2826.506574672836+0j),4.0
1.5,(2826.506574672836+0j),4.0
1.6,(2818.382931263524+0j),4.0
1.7,(2810.2826359627325+0j),4.0
1.8,(2802.2056216658225+0j),4.0
1.9,(2794.1518214610173+0j),4.0
2.0,(2786.121168628852+0j),4.0
0.025,(504.08061910252553+0j),6.0
0.05,(856.0517117198378+0j),6.0
0.1,(1291.9627731517742+0j),6.0
0.2,(1673.9789788599414+0j),6.0
0.3,(1824.945923331796+0j),6.0
0.4,(1894.5235143559867+0j),6.0
0.5,(1933.080767536309+0j),6.0
0.6,(1955.4647878646845+0j),6.0
0.7,(1966.7538092827076+0j),6.0
0.8,(1978.108002932605+0j),6.0
0.9,(1978.108002932605+0j),6.0
1.0,(1983.809656835869+0j),6.0
1.1,(1983.809656835869+0j),6.0
1.2,(1978.108002932605+0j),6.0
1.3,(1978.108002932605+0j),6.0
1.4,(1978.108002932605+0j),6.0
1.5,(1972.422736114221+0j),6.0
1.6,(1966.7538092827076+0j),6.0
1.7,(1961.1011754754188+0j),6.0
1.8,(1961.1011754754188+0j),6.0
1.9,(1955.4647878646845+0j),6.0
2.0,(1949.8445997574206+0j),6.0
0.025,(467.73514128706563+0j),8.0
0.05,(760.7640819260441+0j),8.0
0.1,(1083.926914020872+0j),8.0
0.2,(1341.2199354049542+0j),8.0
0.3,(1433.0125702365146+0j),8.0
0.4,(1479.1083881677441+0j),8.0
0.5,(1504.8735188020416+0j),8.0
0.6,(1517.9239032489077+0j),8.0
0.7,(1526.6869735742077+0j),8.0
0.8,(1535.5006336565846+0j),8.0
0.9,(1535.5006336565846+0j),8.0
1.0,(1535.5006336565846+0j),8.0
1.1,(1535.5006336565846+0j),8.0
1.2,(1535.5006336565846+0j),8.0
1.3,(1535.5006336565846+0j),8.0
1.4,(1531.087461681549+0j),8.0
1.5,(1531.087461681549+0j),8.0
1.6,(1526.6869735742077+0j),8.0
1.7,(1522.299132879942+0j),8.0
1.8,(1517.9239032489077+0j),8.0
1.9,(1517.9239032489077+0j),8.0
2.0,(1513.5612484357332+0j),8.0
0.025,(437.7740356318893+0j),10.0
0.05,(685.8829387918169+0j),10.0
0.1,(938.6420366718514+0j),10.0
0.2,(1122.0184543016192+0j),10.0
0.3,(1188.5022274366524+0j),10.0
0.4,(1223.2071190495537+0j),10.0
0.5,(1240.9377607513359+0j),10.0
0.6,(1248.1017726253892+0j),10.0
0.7,(1255.3071427913367+0j),10.0
0.8,(1258.9254117937778+0j),10.0
0.9,(1262.554110013203+0j),10.0
1.0,(1262.554110013203+0j),10.0
1.1,(1262.554110013203+0j),10.0
1.2,(1262.554110013203+0j),10.0
1.3,(1258.9254117937778+0j),10.0
