Ganho,Is_mA,THD
2.0,0.025,0.000332
2.0,0.05,0.00017
2.0,0.1,0.00011
2.0,0.2,0.000118
2.0,0.3,0.000139
2.0,0.4,0.00016
2.0,0.5,0.000178
2.0,0.6,0.000194
2.0,0.7,0.00021
2.0,0.8,0.000224
2.0,0.9,0.000237
2.0,1.0,0.00025
2.0,1.1,0.000262
2.0,1.2,0.000273
2.0,1.3,0.000284
2.0,1.4,0.000294
2.0,1.5,0.000304
2.0,1.6,0.000314
2.0,1.7,0.000323
2.0,1.8,0.000333
2.0,1.9,0.000341
2.0,2.0,0.00035
4.0,0.025,0.000432
4.0,0.05,0.00022
4.0,0.1,0.000172
4.0,0.2,0.00022
4.0,0.3,0.000269
4.0,0.4,0.00031
4.0,0.5,0.000346
4.0,0.6,0.000379
4.0,0.7,0.000408
4.0,0.8,0.000436
4.0,0.9,0.000462
4.0,1.0,0.000486
4.0,1.1,0.000509
4.0,1.2,0.000531
4.0,1.3,0.000552
4.0,1.4,0.000572
4.0,1.5,0.000591
4.0,1.6,0.00061
4.0,1.7,0.000628
4.0,1.8,0.000645
4.0,1.9,0.000662
4.0,2.0,0.000678
6.0,0.025,0.000523
6.0,0.05,0.000262
6.0,0.1,0.000239
6.0,0.2,0.00033
6.0,0.3,0.000404
6.0,0.4,0.000466
6.0,0.5,0.00052
6.0,0.6,0.000568
6.0,0.7,0.000612
6.0,0.8,0.000653
6.0,0.9,0.000691
6.0,1.0,0.000726
6.0,1.1,0.00076
6.0,1.2,0.000793
6.0,1.3,0.000823
6.0,1.4,0.000853
6.0,1.5,0.000881
6.0,1.6,0.000909
6.0,1.7,0.000935
6.0,1.8,0.000961
6.0,1.9,0.000986
6.0,2.0,0.00101
8.0,0.025,0.000596
8.0,0.05,0.000296
8.0,0.1,0.000315
8.0,0.2,0.000451
8.0,0.3,0.000553
8.0,0.4,0.000636
8.0,0.5,0.000708
8.0,0.6,0.000772
8.0,0.7,0.00083
8.0,0.8,0.000884
8.0,0.9,0.000934
8.0,1.0,0.000982
8.0,1.1,0.001027
8.0,1.2,0.001069
8.0,1.3,0.00111
8.0,1.4,0.001149
8.0,1.5,0.001187
8.0,1.6,0.001223
8.0,1.7,0.001258
8.0,1.8,0.001291
8.0,1.9,0.001324
8.0,2.0,0.001356
10.0,0.025,0.00065
10.0,0.05,0.000331
10.0,0.1,0.00041
10.0,0.2,0.000596
10.0,0.3,0.000726
10.0,0.4,0.000831
10.0,0.5,0.000922
10.0,0.6,0.001002
10.0,0.7,0.001076
10.0,0.8,0.001144
10.0,0.9,0.001208
10.0,1.0,0.001268
10.0,1.1,0.001324
10.0,1.2,0.001378
10.0,1.3,0.001429
10.0,1.4,0.001478
10.0,1.5,0.001525
10.0,1.6,0.001571
10.0,1.7,0.001615
12.0,0.025,0.000687
12.0,0.05,0.000382
12.0,0.1,0.000536
12.0,0.2,0.000774
12.0,0.3,0.000936
12.0,0.4,0.001066
12.0,0.5,0.001178
12.0,0.6,0.001278
12.0,0.7,0.001369
12.0,0.8,0.001453
12.0,0.9,0.001532
12.0,1.0,0.001605
12.0,1.1,0.001675
12.0,1.2,0.001741
14.0,0.025,0.000714
14.0,0.05,0.000464
14.0,0.1,0.000702
14.0,0.2,0.000998
14.0,0.3,0.001197
14.0,0.4,0.001358
14.0,0.5,0.001496
14.0,0.6,0.001619
14.0,0.7,0.001731
14.0,0.8,0.001834
14.0,0.9,0.00193
14.0,1.0,0.00202
16.0,0.025,0.000737
16.0,0.05,0.000591
16.0,0.1,0.000915
16.0,0.2,0.00128
16.0,0.3,0.001525
16.0,0.4,0.001723
16.0,0.5,0.001893
16.0,0.6,0.002044
16.0,0.7,0.002181
16.0,0.8,0.002308
