Freq_corte(Khz),IRB_mA,Av,Is_mA
(499.746774792266+0j),0.1,6,0.5
(469.08333051134434+0j),0.1,8,0.5
(442.8432200536598+0j),0.1,10,0.5
(419.2759966844878+0j),0.1,12,0.5
(499.746774792266+0j),0.25,6,0.5
(470.4354057258427+0j),0.25,8,0.5
(444.1196613654636+0j),0.25,10,0.5
(420.48450836307+0j),0.25,12,0.5
(499.746774792266+0j),0.5,6,0.5
(470.4354057258427+0j),0.5,8,0.5
(445.3997818629221+0j),0.5,10,0.5
(421.69650342846387+0j),0.5,12,0.5
(499.746774792266+0j),1.0,6,0.5
(470.4354057258427+0j),1.0,8,0.5
(445.3997818629221+0j),1.0,10,0.5
(421.69650342846387+0j),1.0,12,0.5
(499.746774792266+0j),1.5,6,0.5
(470.4354057258427+0j),1.5,8,0.5
(445.3997818629221+0j),1.5,10,0.5
(421.69650342846387+0j),1.5,12,0.5
(498.3104559703874+0j),2.0,6,0.5
(470.4354057258427+0j),2.0,8,0.5
(444.1196613654636+0j),2.0,10,0.5
(421.69650342846387+0j),2.0,12,0.5
(498.3104559703874+0j),2.5,6,0.5
(469.08333051134434+0j),2.5,8,0.5
(444.1196613654636+0j),2.5,10,0.5
(421.69650342846387+0j),2.5,12,0.5
(496.87826526271004+0j),3.0,6,0.5
(469.08333051134434+0j),3.0,8,0.5
(444.1196613654636+0j),3.0,10,0.5
(421.69650342846387+0j),3.0,12,0.5
(495.45019080464897+0j),3.5,6,0.5
(467.73514128706563+0j),3.5,8,0.5
(444.1196613654636+0j),3.5,10,0.5
(421.69650342846387+0j),3.5,12,0.5
(495.45019080464897+0j),4.0,6,0.5
(467.73514128706563+0j),4.0,8,0.5
(442.8432200536598+0j),4.0,10,0.5
(421.69650342846387+0j),4.0,12,0.5
(494.02622076571896+0j),4.500000000000001,6,0.5
(467.73514128706563+0j),4.500000000000001,8,0.5
(442.8432200536598+0j),4.500000000000001,10,0.5
(421.69650342846387+0j),4.500000000000001,12,0.5
(494.02622076571896+0j),5.000000000000001,6,0.5
(466.39082688430847+0j),5.000000000000001,8,0.5
(442.8432200536598+0j),5.000000000000001,10,0.5
(421.69650342846387+0j),5.000000000000001,12,0.5
(492.6063433494368+0j),5.5,6,0.5
(466.39082688430847+0j),5.5,8,0.5
(442.8432200536598+0j),5.5,10,0.5
(421.69650342846387+0j),5.5,12,0.5
(492.6063433494368+0j),6.0,6,0.5
(466.39082688430847+0j),6.0,8,0.5
(442.8432200536598+0j),6.0,10,0.5
(420.48450836307+0j),6.0,12,0.5
(491.19054679322346+0j),6.500000000000001,6,0.5
(465.0503761664746+0j),6.500000000000001,8,0.5
(441.570447353188+0j),6.500000000000001,10,0.5
(420.48450836307+0j),6.500000000000001,12,0.5
(491.19054679322346+0j),7.000000000000001,6,0.5
(465.0503761664746+0j),7.000000000000001,8,0.5
(441.570447353188+0j),7.000000000000001,10,0.5
(420.48450836307+0j),7.000000000000001,12,0.5
(491.19054679322346+0j),7.5,6,0.5
(465.0503761664746+0j),7.5,8,0.5
(441.570447353188+0j),7.5,10,0.5
(420.48450836307+0j),7.5,12,0.5
(489.7788193683067+0j),8.0,6,0.5
(463.71377802897325+0j),8.0,8,0.5
(441.570447353188+0j),8.0,10,0.5
(420.48450836307+0j),8.0,12,0.5
(489.7788193683067+0j),8.5,6,0.5
(463.71377802897325+0j),8.5,8,0.5
(441.570447353188+0j),8.5,10,0.5
(420.48450836307+0j),8.5,12,0.5
(488.37114937962366+0j),9.000000000000002,6,0.5
(463.71377802897325+0j),9.000000000000002,8,0.5
(441.570447353188+0j),9.000000000000002,10,0.5
(420.48450836307+0j),9.000000000000002,12,0.5
(488.37114937962366+0j),9.500000000000002,6,0.5
(463.71377802897325+0j),9.500000000000002,8,0.5
(440.30133272011733+0j),9.500000000000002,10,0.5
(420.48450836307+0j),9.500000000000002,12,0.5
(486.96752516572445+0j),10.0,6,0.5
(462.38102139912945+0j),10.0,8,0.5
(440.30133272011733+0j),10.0,10,0.5
(420.48450836307+0j),10.0,12,0.5
