IRB_ma,Av,Is_ma,Slew_Rate_Metodo1_V_per_us
0.1,6,1.0,0.622892086615032
0.1,8,1.0,0.7446607301776771
0.1,10,0.5,0.5617592221964699
0.1,12,0.5,0.6362755389492524
0.25,6,1.0,0.6239187489608322
0.25,8,1.0,0.7467220624443743
0.25,10,0.5,0.562858535585367
0.25,12,0.5,0.6379315657478173
0.5,6,1.0,0.6234952527532757
0.5,8,1.0,0.7463904565717804
0.5,10,0.5,0.5620746722134594
0.5,12,0.5,0.637280328818219
1.0,6,1.0,0.6205581499340419
1.0,8,1.0,0.7433679854523413
1.0,10,0.5,0.5593489523209056
1.0,12,0.5,0.6343720411840134
1.5,6,1.0,0.6172360841292063
1.5,8,1.0,0.7399137494572017
1.5,10,0.5,0.5563270912504942
1.5,12,0.5,0.6312991284003638
2.0,6,1.0,0.6138055297807439
2.0,8,1.0,0.7363023996543289
2.0,10,0.5,0.5533335815954852
2.0,12,0.5,0.6281597416696243
2.5,6,1.0,0.6103748125315722
2.5,8,1.0,0.7326751442131108
2.5,10,0.5,0.5504068901793459
2.5,12,0.5,0.6250889664344974
3.0,6,1.0,0.6070200745009995
3.0,8,1.0,0.7291730051365479
3.0,10,0.5,0.5474436783491193
3.0,12,0.5,0.6219239365413969
3.5,6,1.0,0.6036839299857195
3.5,8,1.0,0.7256892263521736
3.5,10,0.5,0.5445485433539493
3.5,12,0.5,0.6188281582055978
4.0,6,1.0,0.6003652169103443
4.0,8,1.0,0.7223213471589631
4.0,10,0.5,0.5416167594409327
4.0,12,0.5,0.6158007613327855
4.500000000000001,6,1.0,0.5970677672931448
4.500000000000001,8,1.0,0.7188607013157884
4.500000000000001,10,0.5,0.538701367314122
4.500000000000001,12,0.5,0.6127337802355801
5.000000000000001,6,1.0,0.5937865210996236
5.000000000000001,8,1.0,0.7154144106813995
5.000000000000001,10,0.5,0.5358514607940502
5.000000000000001,12,0.5,0.6097354411768638
5.5,6,1.0,0.590624135487133
5.5,8,1.0,0.7119823516342224
5.5,10,0.5,0.5330160307615618
5.5,12,0.5,0.6066978244335184
6.0,6,1.0,0.587573195503265
6.0,8,1.0,0.708564451628222
6.0,10,0.5,0.53024545367163
6.0,12,0.5,0.6037803509936012
6.500000000000001,6,1.0,0.5844433543324279
6.500000000000001,8,1.0,0.7051606735896441
6.500000000000001,10,0.5,0.5273911407976558
6.500000000000001,12,0.5,0.600769739772486
7.000000000000001,6,1.0,0.581328908708885
7.000000000000001,8,1.0,0.7018757691003024
7.000000000000001,10,0.5,0.5246492036789322
7.000000000000001,12,0.5,0.5978801776307404
7.5,6,1.0,0.5782297831098945
7.5,8,1.0,0.6984992211769204
7.5,10,0.5,0.5218733480461079
7.5,12,0.5,0.5950026811230174
8.0,6,1.0,0.575149460124213
8.0,8,1.0,0.6952386997030516
8.0,10,0.5,0.5192081536389593
8.0,12,0.5,0.5920877007782178
8.5,6,1.0,0.5720830535847063
8.5,8,1.0,0.6919932295281158
8.5,10,0.5,0.5164611292451718
8.5,12,0.5,0.5892381525221848
9.000000000000002,6,1.0,0.569034053508708
9.000000000000002,8,1.0,0.6889609916138653
9.000000000000002,10,0.5,0.5138243032236013
9.000000000000002,12,0.5,0.5863498242476012
9.500000000000002,6,1.0,0.5660940192990198
9.500000000000002,8,1.0,0.6857387594928301
9.500000000000002,10,0.5,0.5111080409607647
9.500000000000002,12,0.5,0.5835794892011097
10.0,6,1.0,0.5633483277012417
10.0,8,1.0,0.6825263147964177
10.0,10,0.5,0.5084990843477045
10.0,12,0.5,0.5806689761546305
