Av1,Is_mA,IRB_mA,Ic_2E_mA,RE_1E,RC_1E,RBuffer,RVBE_BUFFER,RE_2E,RC_2E,Av2,Av_total
6,0.5,1.0,0.1,4033.263510954335,60000.0,14470.0,4000.0,139400.0,2434416.1304081017,16.78,100.65755886306708
8,0.5,1.0,0.1,2783.263510954335,60000.0,14470.0,4000.0,139400.0,1827165.5737939258,12.58,100.6694239702588
10,0.5,1.0,0.1,2033.263510954335,60000.0,14470.0,4000.0,139400.0,1464407.8946814488,10.07,100.67534742299738
12,0.5,1.0,0.1,1533.263510954335,60000.0,14470.0,4000.0,139400.0,1223201.5158917196,8.39,100.67881564932955
6,0.5,1.0,0.25,4033.263510954335,60000.0,14470.0,4000.0,55760.0,972732.653177017,16.78,100.66665264088164
8,0.5,1.0,0.25,2783.263510954335,60000.0,14470.0,4000.0,55760.0,730412.4102417461,12.58,100.67465946804823
10,0.5,1.0,0.25,2033.263510954335,60000.0,14470.0,4000.0,55760.0,585520.3862606694,10.07,100.67875918742467
12,0.5,1.0,0.25,1533.263510954335,60000.0,14470.0,4000.0,55760.0,489131.7158638393,8.39,100.68120973002324
6,0.5,1.0,0.5,4033.263510954335,60000.0,14470.0,4000.0,27880.0,486353.78674628516,16.78,100.66737537164882
8,0.5,1.0,0.5,2783.263510954335,60000.0,14470.0,4000.0,27880.0,365209.2707621363,12.58,100.6750557616666
10,0.5,1.0,0.5,2033.263510954335,60000.0,14470.0,4000.0,27880.0,292766.1311107527,10.07,100.67874691971828
12,0.5,1.0,0.5,1533.263510954335,60000.0,14470.0,4000.0,27880.0,244572.3065668482,8.39,100.68169798434297
6,0.5,1.0,1.0,4033.263510954335,60000.0,14470.0,4000.0,13940.0,243230.5332163959,16.78,100.66662546358165
8,0.5,1.0,1.0,2783.263510954335,60000.0,14470.0,4000.0,13940.0,182638.1369096001,12.58,100.67433533562267
10,0.5,1.0,1.0,2033.263510954335,60000.0,14470.0,4000.0,13940.0,146406.3725276056,10.07,100.67829957564129
12,0.5,1.0,1.0,1533.263510954335,60000.0,14470.0,4000.0,13940.0,122303.60012730237,8.39,100.68094716541584
6,0.5,1.0,1.5,4033.263510954335,60000.0,14470.0,4000.0,9293.333333333332,162166.52308113605,16.78,100.66648253547228
