Slew_rate(V/us),IRB_mA,Av2,Av,Is_mA,IC_2E_mA
1.1984859890296367,2.0,16.67,6,1.0,0.5
1.559797761667693,2.0,12.5,8,1.0,0.5
1.7429547012192455,1.0,10.0,10,0.5,0.5
1.9607208210104696,1.0,8.33,12,0.5,0.5
2.1971485672239224,2.0,16.67,6,1.0,1.0
2.7551075543894914,2.0,12.5,8,1.0,1.0
2.6460980072536877,1.0,10.0,10,0.5,1.0
2.8226665521418024,1.0,8.33,12,0.5,1.0
3.070546545197121,2.0,16.67,6,1.0,1.5
3.6858572492222623,2.0,12.5,8,1.0,1.5
3.1716715119228183,1.0,10.0,10,0.5,1.5
3.287751221573091,1.0,8.33,12,0.5,1.5
3.7846948845358437,2.0,16.67,6,1.0,2.0
4.381473921717076,2.0,12.5,8,1.0,2.0
3.5010329506786597,1.0,10.0,10,0.5,2.0
3.555869950768503,1.0,8.33,12,0.5,2.0
4.368006185968498,2.0,16.67,6,1.0,2.5
4.912782846440393,2.0,12.5,8,1.0,2.5
3.7197099666107967,1.0,10.0,10,0.5,2.5
3.7228712928988625,1.0,8.33,12,0.5,2.5
4.847579598876341,2.0,16.67,6,1.0,3.0
5.329488105123134,2.0,12.5,8,1.0,3.0
3.8714501887394555,1.0,10.0,10,0.5,3.0
3.8327665938879525,1.0,8.33,12,0.5,3.0
5.247619016546761,2.0,16.67,6,1.0,3.5
5.663137343380372,2.0,12.5,8,1.0,3.5
3.9806969442372653,1.0,10.0,10,0.5,3.5
3.9087573548496355,1.0,8.33,12,0.5,3.5
5.5861341985231325,2.0,16.67,6,1.0,4.0
5.934377979207391,2.0,12.5,8,1.0,4.0
4.06118710071247,1.0,10.0,10,0.5,4.0
3.9636486364596806,1.0,8.33,12,0.5,4.0
5.876100586857626,2.0,16.67,6,1.0,4.5
6.157088436993707,2.0,12.5,8,1.0,4.5
4.1229592923627045,1.0,10.0,10,0.5,4.5
4.004479765048311,1.0,8.33,12,0.5,4.5
6.127231113421357,2.0,16.67,6,1.0,5.0
6.3433097604931294,2.0,12.5,8,1.0,5.0
4.170615877683768,1.0,10.0,10,0.5,5.0
4.0357694175610135,1.0,8.33,12,0.5,5.0
6.3464640524502745,2.0,16.67,6,1.0,5.5
6.499341798090448,2.0,12.5,8,1.0,5.5
4.2088530679092635,1.0,10.0,10,0.5,5.5
4.060537731684652,1.0,8.33,12,0.5,5.5
6.539291730974587,2.0,16.67,6,1.0,6.0
6.631753768743039,2.0,12.5,8,1.0,6.0
4.239625174312813,1.0,10.0,10,0.5,6.0
4.080415263105368,1.0,8.33,12,0.5,6.0
6.709329317006906,2.0,16.67,6,1.0,6.5
6.745146664824168,2.0,12.5,8,1.0,6.5
4.264561688860777,1.0,10.0,10,0.5,6.5
4.096811195724679,1.0,8.33,12,0.5,6.5
6.842076970128838,2.0,12.5,8,1.0,7.0
4.28537707047208,1.0,10.0,10,0.5,7.0
4.110150645468339,1.0,8.33,12,0.5,7.0
6.996487265930484,2.0,16.67,6,1.0,7.5
6.9260376512691435,2.0,12.5,8,1.0,7.5
4.303122141969415,1.0,10.0,10,0.5,7.5
4.121443619261521,1.0,8.33,12,0.5,7.5
7.118244898030867,2.0,16.67,6,1.0,8.0
6.9998661111058125,2.0,12.5,8,1.0,8.0
4.318091881602689,1.0,10.0,10,0.5,8.0
4.130883945324493,1.0,8.33,12,0.5,8.0
7.227882853645777,2.0,16.67,6,1.0,8.5
7.064207591161451,2.0,12.5,8,1.0,8.5
4.330753400128813,1.0,10.0,10,0.5,8.5
4.139199989035921,1.0,8.33,12,0.5,8.5
7.326998708285257,2.0,16.67,6,1.0,9.0
7.120387033130909,2.0,12.5,8,1.0,9.0
4.341782447127193,1.0,10.0,10,0.5,9.0
4.1461639194613795,1.0,8.33,12,0.5,9.0
7.417059914800132,2.0,16.67,6,1.0,9.5
7.170826803094933,2.0,12.5,8,1.0,9.5
4.351089965287923,1.0,10.0,10,0.5,9.5
4.1521151968251155,1.0,8.33,12,0.5,9.5
7.4989547130095815,2.0,16.67,6,1.0,10.0
7.215719334505431,2.0,12.5,8,1.0,10.0
4.359616865497978,1.0,10.0,10,0.5,10.0
4.15738055799902,1.0,8.33,12,0.5,10.0
