Av1,Is_mA,IRB_mA,Ic_2E_mA,RE_1E,RC_1E,RBuffer,RVBE_BUFFER,RE_2E,RC_2E,Av2,Av_total
6,1.0,2.0,0.1,1816.414072975335,30000.0,7235.0,2000.0,139400.0,2465396.045775522,16.82,100.93971673096162
8,1.0,2.0,0.1,1191.414072975335,30000.0,7235.0,2000.0,139400.0,1853087.344717218,12.62,100.95316977813296
10,0.5,1.0,0.1,2033.263510954335,60000.0,14470.0,4000.0,139400.0,1473922.8453236844,10.1,100.96669307443005
12,0.5,1.0,0.1,1533.263510954335,60000.0,14470.0,4000.0,139400.0,1230941.0920801745,8.41,100.9710117054201
6,1.0,2.0,0.25,1816.414072975335,30000.0,7235.0,2000.0,55760.0,986080.2155636398,16.82,100.9415365564632
8,1.0,2.0,0.25,1191.414072975335,30000.0,7235.0,2000.0,55760.0,741227.0552221764,12.62,100.95416063335806
10,0.5,1.0,0.25,2033.263510954335,60000.0,14470.0,4000.0,55760.0,589582.3590174341,10.1,100.96702714538581
12,0.5,1.0,0.25,1533.263510954335,60000.0,14470.0,4000.0,55760.0,492395.40787721646,8.41,100.97171358960215
6,1.0,2.0,0.5,1816.414072975335,30000.0,7235.0,2000.0,27880.0,493141.29843587877,16.82,100.94066661466516
8,1.0,2.0,0.5,1191.414072975335,30000.0,7235.0,2000.0,27880.0,370677.89829820377,12.62,100.95347886038616
10,0.5,1.0,0.5,2033.263510954335,60000.0,14470.0,4000.0,27880.0,294838.69734107,10.1,100.96652272731905
12,0.5,1.0,0.5,1533.263510954335,60000.0,14470.0,4000.0,27880.0,246233.45784900044,8.41,100.9709987026012
6,1.0,2.0,1.0,1816.414072975335,30000.0,7235.0,2000.0,13940.0,246655.75766112373,16.82,100.93894027433113
8,1.0,2.0,1.0,1191.414072975335,30000.0,7235.0,2000.0,13940.0,185391.4475877049,12.62,100.95212451384786
10,0.5,1.0,1.0,2033.263510954335,60000.0,14470.0,4000.0,13940.0,147458.7231887653,10.1,100.965669866537
12,0.5,1.0,1.0,1533.263510954335,60000.0,14470.0,4000.0,13940.0,123145.94871068878,8.41,100.97017754641553
6,1.0,2.0,1.5,1816.414072975335,30000.0,7235.0,2000.0,9293.333333333332,164454.56882613324,16.82,100.93847518684797
8,1.0,2.0,1.5,1191.414072975335,30000.0,7235.0,2000.0,9293.333333333332,123605.3911034924,12.62,100.951760810344
10,0.5,1.0,1.5,2033.263510954335,60000.0,14470.0,4000.0,9293.333333333332,98315.5796954516,10.1,100.96527699049793
12,0.5,1.0,1.5,1533.263510954335,60000.0,14470.0,4000.0,9293.333333333332,82104.75526271219,8.41,100.96980248230871
6,1.0,2.0,2.0,1816.414072975335,30000.0,7235.0,2000.0,6970.0,123351.30844483853,16.82,100.93807843387802
8,1.0,2.0,2.0,1191.414072975335,30000.0,7235.0,2000.0,6970.0,92710.68711792478,12.62,100.9515477539122
10,0.5,1.0,2.0,2033.263510954335,60000.0,14470.0,4000.0,6970.0,73742.7082910596,10.1,100.96518099631453
12,0.5,1.0,2.0,1533.263510954335,60000.0,14470.0,4000.0,6970.0,61583.09761507382,8.41,100.96937672040796
6,1.0,2.0,2.5,1816.414072975335,30000.0,7235.0,2000.0,5576.0,98688.87429253556,16.82,100.93771148974292
8,1.0,2.0,2.5,1191.414072975335,30000.0,7235.0,2000.0,5576.0,74173.50940589834,12.62,100.95125779738014
10,0.5,1.0,2.5,2033.263510954335,60000.0,14470.0,4000.0,5576.0,58998.75202927575,10.1,100.96478276276609
12,0.5,1.0,2.5,1533.263510954335,60000.0,14470.0,4000.0,5576.0,49270.0086567647,8.41,100.9691658138879
6,1.0,2.0,3.0,1816.414072975335,30000.0,7235.0,2000.0,4646.666666666666,82247.06623865067,16.82,100.93745026096518
8,1.0,2.0,3.0,1191.414072975335,30000.0,7235.0,2000.0,4646.666666666666,61815.264650463214,12.62,100.95091906772886
10,0.5,1.0,3.0,2033.263510954335,60000.0,14470.0,4000.0,4646.666666666666,49169.416012618094,10.1,100.96448902091454
12,0.5,1.0,3.0,1533.263510954335,60000.0,14470.0,4000.0,4646.666666666666,41061.3487385899,8.41,100.96935736135568
6,1.0,2.0,3.5,1816.414072975335,30000.0,7235.0,2000.0,3982.8571428571427,70502.80069890241,16.82,100.93707641006495
8,1.0,2.0,3.5,1191.414072975335,30000.0,7235.0,2000.0,3982.8571428571427,52987.92421032806,12.62,100.95070750456313
10,0.5,1.0,3.5,2033.263510954335,60000.0,14470.0,4000.0,3982.8571428571427,42148.49663011624,10.1,100.9644371742655
12,0.5,1.0,3.5,1533.263510954335,60000.0,14470.0,4000.0,3982.8571428571427,35197.91436103257,8.41,100.9689696441566
6,1.0,2.0,4.0,1816.414072975335,30000.0,7235.0,2000.0,3485.0,61694.626283128404,16.82,100.93679319418952
8,1.0,2.0,4.0,1191.414072975335,30000.0,7235.0,2000.0,3485.0,46367.38688061572,12.62,100.95048032709195
10,0.5,1.0,4.0,2033.263510954335,60000.0,14470.0,4000.0,3485.0,36882.701372480726,10.1,100.96409631565935
12,0.5,1.0,4.0,1533.263510954335,60000.0,14470.0,4000.0,3485.0,30800.29555427793,8.41,100.96881219543823
6,1.0,2.0,4.500000000000001,1816.414072975335,30000.0,7235.0,2000.0,3097.7777777777774,54843.72364148777,16.82,100.93643174010892
8,1.0,2.0,4.500000000000001,1191.414072975335,30000.0,7235.0,2000.0,3097.7777777777774,41218.047896659074,12.62,100.95024316516579
10,0.5,1.0,4.500000000000001,2033.263510954335,60000.0,14470.0,4000.0,3097.7777777777774,32787.131476668634,10.1,100.96409325551257
12,0.5,1.0,4.500000000000001,1533.263510954335,60000.0,14470.0,4000.0,3097.7777777777774,27379.913640614075,8.41,100.96850708657047
6,1.0,2.0,5.000000000000001,1816.414072975335,30000.0,7235.0,2000.0,2787.9999999999995,49363.00942583365,16.82,100.9361062211623
8,1.0,2.0,5.000000000000001,1191.414072975335,30000.0,7235.0,2000.0,2787.9999999999995,37098.55911121019,12.62,100.94999584217642
10,0.5,1.0,5.000000000000001,2033.263510954335,60000.0,14470.0,4000.0,2787.9999999999995,29510.551004938017,10.1,100.96364003561473
12,0.5,1.0,5.000000000000001,1533.263510954335,60000.0,14470.0,4000.0,2787.9999999999995,24643.641092049613,8.41,100.96843915244712
6,1.0,2.0,5.5,1816.414072975335,30000.0,7235.0,2000.0,2534.5454545454545,44878.795704478296,16.82,100.93579080306668
8,1.0,2.0,5.5,1191.414072975335,30000.0,7235.0,2000.0,2534.5454545454545,33728.08087960804,12.62,100.94978564823867
10,0.5,1.0,5.5,2033.263510954335,60000.0,14470.0,4000.0,2534.5454545454545,26829.862064773453,10.1,100.96358173686468
12,0.5,1.0,5.5,1533.263510954335,60000.0,14470.0,4000.0,2534.5454545454545,22404.84823032598,8.41,100.96808567841359
6,1.0,2.0,6.0,1816.414072975335,30000.0,7235.0,2000.0,2323.333333333333,41141.89116681951,16.82,100.93538276373818
8,1.0,2.0,6.0,1191.414072975335,30000.0,7235.0,2000.0,2323.333333333333,30919.342163986512,12.62,100.94945843348938
10,0.5,1.0,6.0,2033.263510954335,60000.0,14470.0,4000.0,2323.333333333333,24595.8454185491,10.1,100.96296739747521
12,0.5,1.0,6.0,1533.263510954335,60000.0,14470.0,4000.0,2323.333333333333,20539.163117709923,8.41,100.96778504628024
6,1.0,2.0,6.500000000000001,1816.414072975335,30000.0,7235.0,2000.0,2144.6153846153843,37979.92723175187,16.82,100.9350565997777
8,1.0,2.0,6.500000000000001,1191.414072975335,30000.0,7235.0,2000.0,2144.6153846153843,28542.71266055652,12.62,100.94923220148515
10,0.5,1.0,6.500000000000001,2033.263510954335,60000.0,14470.0,4000.0,2144.6153846153843,22705.59638016238,10.1,100.9630388897308
12,0.5,1.0,6.500000000000001,1533.263510954335,60000.0,14470.0,4000.0,2144.6153846153843,18960.526283964762,8.41,100.96756003086642
6,1.0,2.0,7.000000000000001,1816.414072975335,30000.0,7235.0,2000.0,1991.428571428571,35269.68240007927,16.82,100.9347384627337
8,1.0,2.0,7.000000000000001,1191.414072975335,30000.0,7235.0,2000.0,1991.428571428571,26505.606450129944,12.62,100.9489959581143
10,0.5,1.0,7.000000000000001,2033.263510954335,60000.0,14470.0,4000.0,1991.428571428571,21085.381858212724,10.1,100.9626848139351
12,0.5,1.0,7.000000000000001,1533.263510954335,60000.0,14470.0,4000.0,1991.428571428571,17607.433518479847,8.41,100.96769515781183
6,1.0,2.0,7.5,1816.414072975335,30000.0,7235.0,2000.0,1858.6666666666667,32920.78808547429,16.82,100.93440833168933
8,1.0,2.0,7.5,1191.414072975335,30000.0,7235.0,2000.0,1858.6666666666667,24740.09011714844,12.62,100.94868442593875
10,0.5,1.0,7.5,2033.263510954335,60000.0,14470.0,4000.0,1858.6666666666667,19681.145740862532,10.1,100.96242015302624
12,0.5,1.0,7.5,1533.263510954335,60000.0,14470.0,4000.0,1858.6666666666667,16434.75083664,8.41,100.96742766624779
6,1.0,2.0,8.0,1816.414072975335,30000.0,7235.0,2000.0,1742.5,30865.523320376422,16.82,100.9340885224721
8,1.0,2.0,8.0,1191.414072975335,30000.0,7235.0,2000.0,1742.5,23195.29390219278,12.62,100.94844254590951
10,0.5,1.0,8.0,2033.263510954335,60000.0,14470.0,4000.0,1742.5,18452.45291555696,10.1,100.96209164887401
12,0.5,1.0,8.0,1533.263510954335,60000.0,14470.0,4000.0,1742.5,15408.618732236977,8.41,100.96722108254556
6,1.0,2.0,8.5,1816.414072975335,30000.0,7235.0,2000.0,1639.9999999999998,29052.03316413286,16.82,100.9337484397822
8,1.0,2.0,8.5,1191.414072975335,30000.0,7235.0,2000.0,1639.9999999999998,21832.219410480717,12.62,100.94817565462087
10,0.5,1.0,8.5,2033.263510954335,60000.0,14470.0,4000.0,1639.9999999999998,17368.340734383055,10.1,100.96203771707435
12,0.5,1.0,8.5,1533.263510954335,60000.0,14470.0,4000.0,1639.9999999999998,14503.220227491822,8.41,100.96655014432444
6,1.0,2.0,9.000000000000002,1816.414072975335,30000.0,7235.0,2000.0,1548.8888888888887,27440.05754501357,16.82,100.9334177164302
8,1.0,2.0,9.000000000000002,1191.414072975335,30000.0,7235.0,2000.0,1548.8888888888887,20620.617244442128,12.62,100.94800026310264
10,0.5,1.0,9.000000000000002,2033.263510954335,60000.0,14470.0,4000.0,1548.8888888888887,16404.67118278902,10.1,100.96171145596182
12,0.5,1.0,9.000000000000002,1533.263510954335,60000.0,14470.0,4000.0,1548.8888888888887,13698.453895695788,8.41,100.96665726964947
6,1.0,2.0,9.500000000000002,1816.414072975335,30000.0,7235.0,2000.0,1467.3684210526312,25997.763999362876,16.82,100.93312442958349
8,1.0,2.0,9.500000000000002,1191.414072975335,30000.0,7235.0,2000.0,1467.3684210526312,19536.54201755811,12.62,100.94772231082699
10,0.5,1.0,9.500000000000002,2033.263510954335,60000.0,14470.0,4000.0,1467.3684210526312,15542.440079692826,10.1,100.96165073129355
12,0.5,1.0,9.500000000000002,1533.263510954335,60000.0,14470.0,4000.0,1467.3684210526312,12978.375331317282,8.41,100.96636204707879
6,1.0,2.0,10.0,1816.414072975335,30000.0,7235.0,2000.0,1394.0,24699.701108124616,16.82,100.93276338982572
