Slew_rate(V/us),IRB_mA,Av2,Av,Is_mA,IC_2E_mA
1.1645311687149202,1.0,16.67,6,0.5,0.5
1.4894886969148833,1.0,12.5,8,0.5,0.5
1.7732625818833776,1.0,10.0,10,0.5,0.5
2.0070838893892646,1.0,8.33,12,0.5,0.5
2.008163465234589,1.0,16.67,6,0.5,1.0
2.4254318636138517,1.0,12.5,8,0.5,1.0
2.7303373339353985,1.0,10.0,10,0.5,1.0
2.9426542775392104,1.0,8.33,12,0.5,1.0
2.636393588007468,1.0,16.67,6,0.5,1.5
3.0471850970614756,1.0,12.5,8,0.5,1.5
3.3013718960596763,1.0,10.0,10,0.5,1.5
3.446173604060634,1.0,8.33,12,0.5,1.5
3.096415073011045,1.0,16.67,6,0.5,2.0
3.4595171920993337,1.0,12.5,8,0.5,2.0
3.6489963697359067,1.0,10.0,10,0.5,2.0
3.4397749773083586,1.0,16.67,6,0.5,2.5
3.744192757794321,1.0,12.5,8,0.5,2.5
3.8725129318229983,1.0,10.0,10,0.5,2.5
3.9003857466991314,1.0,8.33,12,0.5,2.5
3.7022209565595414,1.0,16.67,6,0.5,3.0
3.9472601817035478,1.0,12.5,8,0.5,3.0
4.022826674188453,1.0,10.0,10,0.5,3.0
4.009847775320646,1.0,8.33,12,0.5,3.0
3.905282395414141,1.0,16.67,6,0.5,3.5
4.095149751748462,1.0,12.5,8,0.5,3.5
4.1277256166768135,1.0,10.0,10,0.5,3.5
4.0842732838284554,1.0,8.33,12,0.5,3.5
4.06509898233541,1.0,16.67,6,0.5,4.0
4.205913758753001,1.0,12.5,8,0.5,4.0
4.203069060179493,1.0,10.0,10,0.5,4.0
4.1373674977606365,1.0,8.33,12,0.5,4.0
4.19288933450045,1.0,16.67,6,0.5,4.5
4.290201615589467,1.0,12.5,8,0.5,4.5
4.259554545658647,1.0,10.0,10,0.5,4.5
4.176328535687961,1.0,8.33,12,0.5,4.5
4.296598148155662,1.0,16.67,6,0.5,5.0
4.355929927561447,1.0,12.5,8,0.5,5.0
4.302570945753113,1.0,10.0,10,0.5,5.0
4.206038025265376,1.0,8.33,12,0.5,5.0
4.380974172300696,1.0,16.67,6,0.5,5.5
4.408561525219113,1.0,12.5,8,0.5,5.5
4.336920155318161,1.0,10.0,10,0.5,5.5
4.229520676177672,1.0,8.33,12,0.5,5.5
4.4500356261016645,1.0,16.67,6,0.5,6.0
4.450784644297387,1.0,12.5,8,0.5,6.0
4.3641042396952185,1.0,10.0,10,0.5,6.0
4.247992186762685,1.0,8.33,12,0.5,6.0
4.508189092492567,1.0,16.67,6,0.5,6.5
4.485588501451356,1.0,12.5,8,0.5,6.5
4.386517760915611,1.0,10.0,10,0.5,6.5
4.263070101425145,1.0,8.33,12,0.5,6.5
4.557446030416797,1.0,16.67,6,0.5,7.0
4.513932998190858,1.0,12.5,8,0.5,7.0
4.404875969332915,1.0,10.0,10,0.5,7.0
4.276097542060527,1.0,8.33,12,0.5,7.0
4.5989701956911215,1.0,16.67,6,0.5,7.5
4.538594990285112,1.0,12.5,8,0.5,7.5
4.420478714702537,1.0,10.0,10,0.5,7.5
4.286659590241044,1.0,8.33,12,0.5,7.5
4.634746347135169,1.0,16.67,6,0.5,8.0
4.559338373219634,1.0,12.5,8,0.5,8.0
4.433883372965585,1.0,10.0,10,0.5,8.0
4.295156835664272,1.0,8.33,12,0.5,8.0
4.664107683465327,1.0,16.67,6,0.5,8.5
4.576683929443547,1.0,12.5,8,0.5,8.5
4.44518376370008,1.0,10.0,10,0.5,8.5
4.303256633853096,1.0,8.33,12,0.5,8.5
4.691496362741426,1.0,16.67,6,0.5,9.0
4.593080400859624,1.0,12.5,8,0.5,9.0
4.454632609416146,1.0,10.0,10,0.5,9.0
4.3098475818305415,1.0,8.33,12,0.5,9.0
4.714251585922856,1.0,16.67,6,0.5,9.5
4.606541334003611,1.0,12.5,8,0.5,9.5
4.463694581223038,1.0,10.0,10,0.5,9.5
4.315685090898541,1.0,8.33,12,0.5,9.5
4.735523716844931,1.0,16.67,6,0.5,10.0
4.618565105244831,1.0,12.5,8,0.5,10.0
4.4717462738788285,1.0,10.0,10,0.5,10.0
4.320787582150952,1.0,8.33,12,0.5,10.0
