thd,IRB_mA,Av2,Av,Is_mA,IC_2E_mA
0.042324,1.0,10.0,10,0.5,0.1
0.018699,1.0,10.0,10,0.5,0.25
0.016017,1.0,8.33,12,0.5,0.25
0.012008,1.0,10.0,10,0.5,0.5
0.010465,1.0,8.33,12,0.5,0.5
0.009469,1.0,10.0,10,0.5,1.0
0.008558,1.0,8.33,12,0.5,1.0
0.007742,1.0,10.0,10,0.5,1.5
0.006743,1.0,8.33,12,0.5,1.5
0.009498,1.0,10.0,10,0.5,2.0
0.008148,1.0,8.33,12,0.5,2.0
0.007211,1.0,10.0,10,0.5,2.5
0.006471,1.0,8.33,12,0.5,2.5
0.009152,1.0,10.0,10,0.5,3.0
0.007924,1.0,8.33,12,0.5,3.0
0.008856,1.0,10.0,10,0.5,3.5
0.007635,1.0,8.33,12,0.5,3.5
0.006617,1.0,10.0,10,0.5,4.0
0.005665,1.0,8.33,12,0.5,4.0
0.009567,1.0,10.0,10,0.5,4.5
0.008202,1.0,8.33,12,0.5,4.5
0.008095,1.0,10.0,10,0.5,5.0
0.006778,1.0,8.33,12,0.5,5.0
0.008422,1.0,10.0,10,0.5,5.5
0.006737,1.0,8.33,12,0.5,5.5
0.009573,1.0,10.0,10,0.5,6.0
0.007816,1.0,8.33,12,0.5,6.0
0.00779,1.0,10.0,10,0.5,6.5
0.006107,1.0,8.33,12,0.5,6.5
0.010411,1.0,10.0,10,0.5,7.0
0.008053,1.0,8.33,12,0.5,7.0
0.009552,1.0,10.0,10,0.5,7.5
0.007494,1.0,8.33,12,0.5,7.5
0.007745,1.0,10.0,10,0.5,8.0
0.005806,1.0,8.33,12,0.5,8.0
0.010478,1.0,10.0,10,0.5,8.5
0.008206,1.0,8.33,12,0.5,8.5
0.009067,1.0,10.0,10,0.5,9.0
0.00701,1.0,8.33,12,0.5,9.0
0.010181,1.0,10.0,10,0.5,9.5
0.007626,1.0,8.33,12,0.5,9.5
0.010709,1.0,10.0,10,0.5,10.0
0.008426,1.0,8.33,12,0.5,10.0
0.051457,1.0,12.5,8,0.5,0.1
0.042032,1.0,10.0,10,0.5,0.1
0.032147,1.0,16.67,6,0.5,0.25
0.023602,1.0,12.5,8,0.5,0.25
0.018894,1.0,10.0,10,0.5,0.25
0.017093,1.0,8.33,12,0.5,0.25
0.021476,1.0,16.67,6,0.5,0.5
0.015482,1.0,12.5,8,0.5,0.5
0.012344,1.0,10.0,10,0.5,0.5
0.011679,1.0,8.33,12,0.5,0.5
0.017769,1.0,16.67,6,0.5,1.0
0.012163,1.0,12.5,8,0.5,1.0
0.010137,1.0,10.0,10,0.5,1.0
0.009991,1.0,8.33,12,0.5,1.0
0.016192,1.0,16.67,6,0.5,1.5
0.011237,1.0,12.5,8,0.5,1.5
0.009506,1.0,10.0,10,0.5,1.5
0.008745,1.0,8.33,12,0.5,1.5
0.016934,1.0,16.67,6,0.5,2.0
0.011126,1.0,12.5,8,0.5,2.0
0.008972,1.0,10.0,10,0.5,2.0
0.008913,1.0,8.33,12,0.5,2.0
0.016533,1.0,16.67,6,0.5,2.5
0.010923,1.0,12.5,8,0.5,2.5
0.009089,1.0,10.0,10,0.5,2.5
0.008709,1.0,8.33,12,0.5,2.5
0.015935,1.0,16.67,6,0.5,3.0
0.010778,1.0,12.5,8,0.5,3.0
0.008971,1.0,10.0,10,0.5,3.0
0.008914,1.0,8.33,12,0.5,3.0
0.016082,1.0,16.67,6,0.5,3.5
0.010995,1.0,12.5,8,0.5,3.5
0.009149,1.0,10.0,10,0.5,3.5
0.00893,1.0,8.33,12,0.5,3.5
0.016181,1.0,16.67,6,0.5,4.0
0.010627,1.0,12.5,8,0.5,4.0
0.009444,1.0,10.0,10,0.5,4.0
0.009013,1.0,8.33,12,0.5,4.0
0.015783,1.0,16.67,6,0.5,4.5
0.01099,1.0,12.5,8,0.5,4.5
0.009081,1.0,10.0,10,0.5,4.5
0.008679,1.0,8.33,12,0.5,4.5
0.016745,1.0,16.67,6,0.5,5.0
0.010911,1.0,12.5,8,0.5,5.0
0.009549,1.0,10.0,10,0.5,5.0
0.009028,1.0,8.33,12,0.5,5.0
0.016524,1.0,16.67,6,0.5,5.5
0.011,1.0,12.5,8,0.5,5.5
0.00925,1.0,10.0,10,0.5,5.5
0.009305,1.0,8.33,12,0.5,5.5
0.015998,1.0,16.67,6,0.5,6.0
0.011576,1.0,12.5,8,0.5,6.0
0.009885,1.0,10.0,10,0.5,6.0
0.009032,1.0,8.33,12,0.5,6.0
0.017226,1.0,16.67,6,0.5,6.5
0.011099,1.0,12.5,8,0.5,6.5
0.009312,1.0,10.0,10,0.5,6.5
0.009588,1.0,8.33,12,0.5,6.5
0.016548,1.0,16.67,6,0.5,7.0
0.01181,1.0,12.5,8,0.5,7.0
0.009865,1.0,10.0,10,0.5,7.0
0.009429,1.0,8.33,12,0.5,7.0
0.016416,1.0,16.67,6,0.5,7.5
0.011635,1.0,12.5,8,0.5,7.5
0.009901,1.0,10.0,10,0.5,7.5
0.009575,1.0,8.33,12,0.5,7.5
0.017057,1.0,16.67,6,0.5,8.0
0.011978,1.0,12.5,8,0.5,8.0
0.010248,1.0,10.0,10,0.5,8.0
0.009744,1.0,8.33,12,0.5,8.0
0.017094,1.0,16.67,6,0.5,8.5
0.011935,1.0,12.5,8,0.5,8.5
0.010105,1.0,10.0,10,0.5,8.5
0.0099,1.0,8.33,12,0.5,8.5
0.01699,1.0,16.67,6,0.5,9.0
0.012242,1.0,12.5,8,0.5,9.0
0.010485,1.0,10.0,10,0.5,9.0
0.009788,1.0,8.33,12,0.5,9.0
0.017284,1.0,16.67,6,0.5,9.5
0.012429,1.0,12.5,8,0.5,9.5
0.010488,1.0,10.0,10,0.5,9.5
0.01029,1.0,8.33,12,0.5,9.5
0.017269,1.0,16.67,6,0.5,10.0
0.012281,1.0,12.5,8,0.5,10.0
0.010637,1.0,10.0,10,0.5,10.0
0.010428,1.0,8.33,12,0.5,10.0
