thd,IRB_mA,Av2,Av,Is_mA,IC_2E_mA
0.042324,1.0,10.0,10,0.5,0.1
0.018699,1.0,10.0,10,0.5,0.25
0.016017,1.0,8.33,12,0.5,0.25
0.012008,1.0,10.0,10,0.5,0.5
0.010465,1.0,8.33,12,0.5,0.5
0.009469,1.0,10.0,10,0.5,1.0
0.008558,1.0,8.33,12,0.5,1.0
0.007742,1.0,10.0,10,0.5,1.5
0.006743,1.0,8.33,12,0.5,1.5
0.009498,1.0,10.0,10,0.5,2.0
0.008148,1.0,8.33,12,0.5,2.0
0.007211,1.0,10.0,10,0.5,2.5
0.006471,1.0,8.33,12,0.5,2.5
0.009152,1.0,10.0,10,0.5,3.0
0.007924,1.0,8.33,12,0.5,3.0
0.008856,1.0,10.0,10,0.5,3.5
0.007635,1.0,8.33,12,0.5,3.5
0.006617,1.0,10.0,10,0.5,4.0
0.005665,1.0,8.33,12,0.5,4.0
