Freq_corte(Khz),R1_VBE,IOUT
(269.9292823153568+0j),1500.0,2.0743
(269.9292823153568+0j),2000.0,3.5255
(269.1534803926192+0j),2500.0,5.0225
(269.1534803926192+0j),3000.0,6.5423
(269.1534803926192+0j),3500.0,8.0756
(269.1534803926192+0j),4000.0,9.6177
(269.1534803926192+0j),4500.0,11.1658
(268.3799081969352+0j),5000.0,12.7184
(268.3799081969352+0j),5500.0,14.2743
(268.3799081969352+0j),6000.0,15.8326
(268.3799081969352+0j),6500.0,17.3929
(268.3799081969352+0j),7000.0,18.9548
(267.6085593198613+0j),7500.0,20.5178
(267.6085593198613+0j),8000.0,22.0818
(267.6085593198613+0j),8500.0,23.6465
(267.6085593198613+0j),9000.0,25.2118
(267.6085593198613+0j),9500.0,26.7775
(267.6085593198613+0j),10000.0,28.3435
(266.83942737137255+0j),10500.0,29.9097
(266.83942737137255+0j),11000.0,31.4761
(266.83942737137255+0j),11500.0,33.0425
(266.83942737137255+0j),12000.0,34.609
(266.83942737137255+0j),12500.0,36.1753
(266.83942737137255+0j),13000.0,37.7416
(266.83942737137255+0j),13500.0,39.3077
(266.07250597980953+0j),14000.0,40.8737
