thd,R1_VBE,IOUT
0.010719,1500.0,2.0743
0.009316,2000.0,3.5255
0.007655,2500.0,5.0225
0.007215,3000.0,6.5423
0.005091,3500.0,8.0756
0.004155,4000.0,9.6177
0.003253,4500.0,11.1658
0.003157,5000.0,12.7184
0.003568,5500.0,14.2743
0.005398,6000.0,15.8326
0.006772,6500.0,17.3929
0.008682,7000.0,18.9548
0.010743,7500.0,20.5178
0.012645,8000.0,22.0818
0.015154,8500.0,23.6465
0.01751,9000.0,25.2118
0.020543,9500.0,26.7775
0.023271,10000.0,28.3435
0.025955,10500.0,29.9097
0.028927,11000.0,31.4761
0.032732,11500.0,33.0425
0.036265,12000.0,34.609
0.039956,12500.0,36.1753
0.043207,13000.0,37.7416
0.047553,13500.0,39.3077
0.051634,14000.0,40.8737
